"timestamp","rtp_total_packet_count","rtp_interval_packets","rtp_total_packet_loss","rtp_interval_packet_loss","rtp_total_packet_out_of_order","rtp_interval_packets_out_of_order","jitter_buffer_delay"
"2014-06-12T16:52:51.669Z",3266306,335,4,0,0,0,1
"2014-06-12T16:52:58.019Z",3266624,318,4,0,0,0,1
"2014-06-12T16:53:03.049Z",3266875,251,4,0,0,0,2
"2014-06-12T16:53:08.018Z",3267124,249,4,0,0,0,1
"2014-06-12T16:53:11.559Z",3267301,177,4,0,0,0,1
"2014-06-12T16:53:15.939Z",3267520,219,4,0,0,0,1
"2014-06-12T16:53:19.830Z",3267714,194,4,0,0,0,1
"2014-06-12T16:53:24.490Z",3267947,233,4,0,0,0,1
"2014-06-12T16:53:29.371Z",3268191,244,4,0,0,0,1
"2014-06-12T16:53:31.971Z",3268321,130,4,0,0,0,2
"2014-06-12T16:53:37.663Z",3268606,285,4,0,0,0,1
"2014-06-12T16:53:40.373Z",3268741,135,4,0,0,0,1
"2014-06-12T16:53:44.043Z",3268925,184,4,0,0,0,1
"2014-06-12T16:53:50.274Z",3269236,311,4,0,0,0,1
"2014-06-12T16:53:56.314Z",3269539,303,4,0,0,0,1
"2014-06-12T16:54:02.254Z",3269835,296,4,0,0,0,2
"2014-06-12T16:54:09.545Z",3270200,365,4,0,0,0,1
"2014-06-12T16:54:14.898Z",3270467,267,4,0,0,0,1
"2014-06-12T16:54:19.285Z",3270687,220,4,0,0,0,2
"2014-06-12T16:54:23.454Z",3270896,209,4,0,0,0,1
"2014-06-12T16:54:27.395Z",3271093,197,4,0,0,0,2
"2014-06-12T16:54:33.435Z",3271394,301,4,0,0,0,1
"2014-06-12T16:54:39.547Z",3271700,306,4,0,0,0,1
"2014-06-12T16:54:42.927Z",3271869,169,4,0,0,0,1
"2014-06-12T16:54:47.247Z",3272085,216,4,0,0,0,1
"2014-06-12T16:54:53.918Z",3272419,334,4,0,0,0,2
"2014-06-12T16:54:59.509Z",3272698,279,4,0,0,0,1
"2014-06-12T16:55:06.718Z",3273059,361,4,0,0,0,1
"2014-06-12T16:55:13.769Z",3273411,352,4,0,0,0,1
"2014-06-12T16:55:18.450Z",3273645,234,4,0,0,0,2
"2014-06-12T16:55:21.750Z",3273810,165,4,0,0,0,1
"2014-06-12T16:55:27.990Z",3274122,312,4,0,0,0,1
"2014-06-12T16:55:31.499Z",3274298,176,4,0,0,0,1
"2014-06-12T16:55:37.309Z",3274588,290,4,0,0,0,1
"2014-06-12T16:55:41.000Z",3274773,185,4,0,0,0,1
"2014-06-12T16:55:45.530Z",3274999,226,4,0,0,0,1
"2014-06-12T16:55:48.210Z",3275133,134,4,0,0,0,2
"2014-06-12T16:55:53.279Z",3275387,254,4,0,0,0,2
"2014-06-12T16:55:59.960Z",3275721,334,4,0,0,0,1
"2014-06-12T16:56:05.000Z",3275973,252,4,0,0,0,1
"2014-06-12T16:56:10.150Z",3276230,257,4,0,0,0,1
"2014-06-12T16:56:15.000Z",3276473,243,4,0,0,0,1
"2014-06-12T16:56:20.241Z",3276735,262,4,0,0,0,1
"2014-06-12T16:56:26.542Z",3277050,315,4,0,0,0,1
"2014-06-12T16:56:30.112Z",3277229,179,4,0,0,0,1
"2014-06-12T16:56:33.872Z",3277417,188,4,0,0,0,1
"2014-06-12T16:56:38.601Z",3277653,236,4,0,0,0,1
"2014-06-12T16:56:41.952Z",3277821,168,4,0,0,0,1
"2014-06-12T16:56:48.544Z",3278150,329,4,0,0,0,1
"2014-06-12T16:56:55.144Z",3278480,330,4,0,0,0,1
"2014-06-12T16:57:00.144Z",3278730,250,4,0,0,0,1
"2014-06-12T16:57:03.165Z",3278881,151,4,0,0,0,2
"2014-06-12T16:57:08.297Z",3279137,256,4,0,0,0,1
"2014-06-12T16:57:11.887Z",3279317,180,4,0,0,0,1
"2014-06-12T16:57:15.779Z",3279511,194,4,0,0,0,2
"2014-06-12T16:57:22.709Z",3279858,347,4,0,0,0,1
"2014-06-12T16:57:25.459Z",3279996,138,4,0,0,0,1
"2014-06-12T16:57:32.421Z",3280344,348,4,0,0,0,2
"2014-06-12T16:57:39.052Z",3280675,331,4,0,0,0,1
"2014-06-12T16:57:46.333Z",3281039,364,4,0,0,0,1
"2014-06-12T16:57:50.454Z",3281246,207,4,0,0,0,1
"2014-06-12T16:57:57.865Z",3281616,370,4,0,0,0,1
"2014-06-12T16:58:03.876Z",3281916,300,4,0,0,0,1
"2014-06-12T16:58:08.987Z",3282172,256,4,0,0,0,1
"2014-06-12T16:58:14.696Z",3282458,286,4,0,0,0,1
"2014-06-12T16:58:21.888Z",3282817,359,4,0,0,0,1
"2014-06-12T16:58:29.018Z",3283174,357,4,0,0,0,1
"2014-06-12T16:58:34.889Z",3283467,293,4,0,0,0,1
"2014-06-12T16:58:39.628Z",3283704,237,4,0,0,0,1
"2014-06-12T16:58:45.928Z",3284019,315,4,0,0,0,1
"2014-06-12T16:58:49.319Z",3284189,170,4,0,0,0,1
"2014-06-12T16:59:00.341Z",3284740,551,4,0,0,0,1
"2014-06-12T16:59:06.453Z",3285045,305,4,0,0,0,1
"2014-06-12T16:59:12.613Z",3285353,308,4,0,0,0,2
"2014-06-12T16:59:17.303Z",3285588,235,4,0,0,0,1
"2014-06-12T16:59:24.663Z",3285956,368,4,0,0,0,1
"2014-06-12T16:59:28.044Z",3286125,169,4,0,0,0,1
"2014-06-12T16:59:33.575Z",3286402,277,4,0,0,0,1
"2014-06-12T16:59:40.015Z",3286724,322,4,0,0,0,2
"2014-06-12T16:59:47.475Z",3287097,373,4,0,0,0,1
"2014-06-12T16:59:50.488Z",3287247,150,4,0,0,0,1
"2014-06-12T16:59:57.428Z",3287594,347,4,0,0,0,1
"2014-06-12T17:00:02.499Z",3287848,254,4,0,0,0,1
"2014-06-12T17:00:06.578Z",3288052,204,4,0,0,0,1
"2014-06-12T17:00:09.889Z",3288217,165,4,0,0,0,1
"2014-06-12T17:00:14.379Z",3288442,225,4,0,0,0,2
"2014-06-12T17:00:18.689Z",3288657,215,4,0,0,0,1
"2014-06-12T17:00:21.439Z",3288795,138,4,0,0,0,1
"2014-06-12T17:00:25.039Z",3288975,180,4,0,0,0,1
"2014-06-12T17:00:29.120Z",3289179,204,4,0,0,0,1
"2014-06-12T17:00:33.470Z",3289396,217,4,0,0,0,2
"2014-06-12T17:00:36.960Z",3289571,175,4,0,0,0,1
"2014-06-12T17:00:39.529Z",3289699,128,4,0,0,0,1
"2014-06-12T17:00:46.480Z",3290047,348,4,0,0,0,1
"2014-06-12T17:00:53.172Z",3290381,334,4,0,0,0,2
"2014-06-12T17:01:00.423Z",3290744,363,4,0,0,0,1
"2014-06-12T17:01:06.993Z",3291072,328,4,0,0,0,1
"2014-06-12T17:01:12.033Z",3291324,252,4,0,0,0,1
"2014-06-12T17:01:16.514Z",3291548,224,4,0,0,0,1
"2014-06-12T17:01:21.863Z",3291816,268,4,0,0,0,1
"2014-06-12T17:01:27.784Z",3292112,296,4,0,0,0,2
"2014-06-12T17:01:32.123Z",3292329,217,4,0,0,0,1
"2014-06-12T17:01:38.594Z",3292653,324,4,0,0,0,2
"2014-06-12T17:01:43.114Z",3292879,226,4,0,0,0,1
"2014-06-12T17:01:46.104Z",3293028,149,4,0,0,0,1
"2014-06-12T17:01:49.754Z",3293210,182,4,0,0,0,1
"2014-06-12T17:01:54.114Z",3293429,219,4,0,0,0,1
"2014-06-12T17:01:57.966Z",3293621,192,4,0,0,0,1
"2014-06-12T17:02:04.627Z",3293954,333,4,0,0,0,1
"2014-06-12T17:02:07.907Z",3294118,164,4,0,0,0,1
"2014-06-12T17:02:11.708Z",3294308,190,4,0,0,0,1
"2014-06-12T17:02:18.857Z",3294666,358,4,0,0,0,1
"2014-06-12T17:02:21.568Z",3294801,135,4,0,0,0,2
"2014-06-12T17:02:27.918Z",3295118,317,4,0,0,0,1
"2014-06-12T17:02:31.629Z",3295304,186,4,0,0,0,1
"2014-06-12T17:02:35.132Z",3295479,175,4,0,0,0,1
"2014-06-12T17:02:38.462Z",3295646,167,4,0,0,0,1
"2014-06-12T17:02:43.973Z",3295921,275,4,0,0,0,1
"2014-06-12T17:02:47.714Z",3296108,187,4,0,0,0,1
"2014-06-12T17:02:52.123Z",3296329,221,4,0,0,0,1
"2014-06-12T17:02:59.193Z",3296683,354,4,0,0,0,1
"2014-06-12T17:03:04.773Z",3296962,279,4,0,0,0,2
"2014-06-12T17:03:10.163Z",3297231,269,4,0,0,0,1
"2014-06-12T17:03:17.297Z",3297587,356,4,0,0,0,2
"2014-06-12T17:03:22.307Z",3297838,251,4,0,0,0,1
"2014-06-12T17:03:26.867Z",3298066,228,4,0,0,0,1
"2014-06-12T17:03:33.727Z",3298409,343,4,0,0,0,2
"2014-06-12T17:03:37.796Z",3298613,204,4,0,0,0,1
"2014-06-12T17:03:44.887Z",3298967,354,4,0,0,0,1
"2014-06-12T17:03:48.707Z",3299158,191,4,0,0,0,1
"2014-06-12T17:03:55.608Z",3299503,345,4,0,0,0,1
"2014-06-12T17:04:01.098Z",3299778,275,4,0,0,0,1
"2014-06-12T17:04:06.750Z",3300060,282,4,0,0,0,1
"2014-06-12T17:04:12.602Z",3300353,293,4,0,0,0,1
"2014-06-12T17:04:20.102Z",3300728,375,4,0,0,0,1
"2014-06-12T17:04:26.221Z",3301034,306,4,0,0,0,1
"2014-06-12T17:04:33.211Z",3301383,349,4,0,0,0,1
"2014-06-12T17:04:37.561Z",3301601,218,4,0,0,0,1
"2014-06-12T17:04:45.022Z",3301974,373,4,0,0,0,1
"2014-06-12T17:04:51.154Z",3302280,306,4,0,0,0,1
"2014-06-12T17:04:56.264Z",3302536,256,4,0,0,0,1
"2014-06-12T17:05:00.005Z",3302723,187,4,0,0,0,1
"2014-06-12T17:05:05.774Z",3303012,289,4,0,0,0,1
"2014-06-12T17:05:11.074Z",3303276,264,4,0,0,0,1
"2014-06-12T17:05:13.654Z",3303406,130,4,0,0,0,1
"2014-06-12T17:05:20.624Z",3303754,348,4,0,0,0,1
"2014-06-12T17:05:26.914Z",3304069,315,4,0,0,0,1
"2014-06-12T17:05:30.303Z",3304238,169,4,0,0,0,1
"2014-06-12T17:05:35.265Z",3304486,248,4,0,0,0,1
"2014-06-12T17:05:42.776Z",3304862,376,4,0,0,0,1
"2014-06-12T17:05:48.057Z",3305125,263,4,0,0,0,1
"2014-06-12T17:05:52.579Z",3305352,227,4,0,0,0,1
"2014-06-12T17:05:58.149Z",3305630,278,4,0,0,0,1
"2014-06-12T17:06:01.309Z",3305788,158,4,0,0,0,1
"2014-06-12T17:06:05.441Z",3305995,207,4,0,0,0,1
"2014-06-12T17:06:08.502Z",3306148,153,4,0,0,0,1
"2014-06-12T17:06:13.713Z",3306408,260,4,0,0,0,1
"2014-06-12T17:06:17.193Z",3306583,175,4,0,0,0,1
